FINALT1: failed (1%)
clock N reset start valid displayout done clockcount
0 3F 0 0 0 0 0 0
1 3F 0 0 0 0 0 0
0 3F 1 0 0 0 0 0
1 3F 1 0 0 0 0 0
0 3F 0 1 0 0 0 0
1 3F 0 1 0 0 0 0
0 3F 0 1 0 0 0 0
0 3F 0 1 0 0 0 0
0 3F 0 1 0 0 0 1
0 3F 0 1 0 0 0 2
0 3F 0 1 0 0 0 3
0 3F 0 1 0 0 0 4
0 3F 0 1 0 0 0 5
0 3F 0 1 0 0 0 6
0 3F 0 1 0 0 0 7
0 3F 0 1 0 0 0 8
0 3F 0 1 0 0 0 9
0 3F 0 1 0 0 0 A
0 3F 0 1 0 0 0 B
0 3F 0 1 0 0 0 C
0 3F 0 1 0 0 0 D
0 3F 0 1 0 0 0 E
0 3F 0 1 0 0 0 F
0 3F 0 1 0 0 0 0x10
0 3F 0 1 0 0 0 0x11
0 3F 0 1 0 0 0 0x12
0 3F 0 1 0 0 0 0x13
0 3F 0 1 0 0 0 0x14
0 3F 0 1 0 0 0 0x15
0 3F 0 1 0 0 0 0x16
0 3F 0 1 0 0 0 0x17
0 3F 0 1 0 0 0 0x18
0 3F 0 1 0 0 0 0x19
0 3F 0 1 0 0 0 1A
0 3F 0 1 0 0 0 1B
0 3F 0 1 0 0 0 1C
0 3F 0 1 0 0 0 1D
0 3F 0 1 0 0 0 1E
0 3F 0 1 0 0 0 1F
0 3F 0 1 0 0 0 0x20
0 3F 0 1 0 0 0 0x21
0 3F 0 1 0 0 0 0x22
0 3F 0 1 0 0 0 0x23
0 3F 0 1 0 0 0 0x24
0 3F 0 1 0 0 0 0x25
0 3F 0 1 0 0 0 0x26
0 3F 0 1 0 0 0 0x27
0 3F 0 1 0 0 0 0x28
0 3F 0 1 0 0 0 0x29
0 3F 0 1 0 0 0 2A
0 3F 0 1 0 0 0 2B
0 3F 0 1 0 0 0 2C
0 3F 0 1 0 0 0 2D
0 3F 0 1 0 0 0 2E
0 3F 0 1 0 0 0 2F
0 3F 0 1 0 0 0 0x30
0 3F 0 1 0 0 0 0x31
0 3F 0 1 0 0 0 0x32
0 3F 0 1 0 0 0 0x33
0 3F 0 1 0 0 0 0x34
0 3F 0 1 0 0 0 0x35
0 3F 0 1 0 0 0 0x36
0 3F 0 1 0 0 0 0x37
0 3F 0 1 0 0 0 0x38
0 3F 0 1 0 0 0 0x39
0 3F 0 1 0 0 0 3A
0 3F 0 1 0 0 0 3B
0 3F 0 1 0 0 0 3C
0 3F 0 1 0 0 0 3D
0 3F 0 1 0 0 0 3E
0 3F 0 1 0 0 0 3F
0 3F 0 1 0 0 0 0x40
0 3F 0 1 0 0 0 0x41
0 3F 0 1 0 0 0 0x42
0 3F 0 1 0 1 0 0x43
0 3F 0 1 0 1 0 0x44
0 3F 0 1 0 2 0 0x45
0 3F 0 1 0 2 0 0x46
0 3F 0 1 0 3 0 0x47
0 3F 0 1 1 3 0 0x48
0 3F 0 1 0 3 0 0x49
0 3F 0 1 0 4 0 4A
0 3F 0 1 1 4 0 4B
0 3F 0 1 0 4 0 4C
0 3F 0 1 0 5 0 4D
0 3F 0 1 0 5 0 4E
0 3F 0 1 0 6 0 4F
0 3F 0 1 0 6 0 0x50
0 3F 0 1 0 7 0 0x51
0 3F 0 1 0 7 0 0x52
0 3F 0 1 0 8 0 0x53
0 3F 0 1 0 8 0 0x54
0 3F 0 1 0 9 0 0x55
0 3F 0 1 0 9 0 0x56
0 3F 0 1 0 A 0 0x57
0 3F 0 1 0 A 0 0x58
0 3F 0 1 0 B 0 0x59
0 3F 0 1 1 B 0 5A
0 3F 0 1 0 B 0 5B
0 3F 0 1 0 C 0 5C
0 3F 0 1 0 C 0 5D
0 3F 0 1 0 D 0 5E
0 3F 0 1 0 D 0 5F
0 3F 0 1 0 E 0 0x60
0 3F 0 1 0 E 0 0x61
0 3F 0 1 0 F 0 0x62
0 3F 0 1 0 F 0 0x63
0 3F 0 1 0 0x10 0 0x64
0 3F 0 1 0 0x10 0 0x65
0 3F 0 1 0 0x11 0 0x66
0 3F 0 1 1 0x11 0 0x67
0 3F 0 1 0 0x11 0 0x68
0 3F 0 1 0 0x12 0 0x69
0 3F 0 1 0 0x12 0 6A
0 3F 0 1 0 0x13 0 6B
0 3F 0 1 0 0x13 0 6C
0 3F 0 1 0 0x14 0 6D
0 3F 0 1 0 0x14 0 6E
0 3F 0 1 0 0x15 0 6F
0 3F 0 1 0 0x15 0 0x70
0 3F 0 1 0 0x16 0 0x71
0 3F 0 1 0 0x16 0 0x72
0 3F 0 1 0 0x17 0 0x73
0 3F 0 1 0 0x17 0 0x74
0 3F 0 1 0 0x18 0 0x75
0 3F 0 1 1 0x18 0 0x76
0 3F 0 1 0 0x18 0 0x77
0 3F 0 1 0 0x19 0 0x78
0 3F 0 1 0 0x19 0 0x79
0 3F 0 1 0 1A 0 7A
0 3F 0 1 0 1A 0 7B
0 3F 0 1 0 1B 0 7C
0 3F 0 1 0 1B 0 7D
0 3F 0 1 0 1C 0 7E
0 3F 0 1 0 1C 0 7F
0 3F 0 1 0 1D 0 0x80
0 3F 0 1 0 1D 0 0x81
0 3F 0 1 0 1E 0 0x82
0 3F 0 1 0 1E 0 0x83
0 3F 0 1 0 1F 0 0x84
